millis;stamp;datetime;temp;flame_detect
874999;1497826078;28/09/2018 13:52;17.9;0
875999;1497826079;28/09/2018 13:52;17.9;0
876999;1497826080;28/09/2018 13:52;17.9;0
877999;1497826081;28/09/2018 13:52;17.9;0
878999;1497826082;28/09/2018 13:52;17.9;0
880000;1497826083;28/09/2018 13:52;17.9;0
880999;1497826084;28/09/2018 13:52;17.9;0
881998;1497826085;28/09/2018 13:52;17.9;0
882999;1497826086;28/09/2018 13:52;17.9;0
883999;1497826087;28/09/2018 13:52;17.9;0
884999;1497826088;28/09/2018 13:52;17.9;0
885998;1497826089;28/09/2018 13:52;17.9;0
886999;1497826090;28/09/2018 13:52;17.9;0
887999;1497826091;28/09/2018 13:52;17.9;0
888998;1497826092;28/09/2018 13:52;17.9;0
889999;1497826093;28/09/2018 13:52;17.9;0
890999;1497826094;28/09/2018 13:52;17.9;0
891999;1497826095;28/09/2018 13:52;17.9;0
892999;1497826096;28/09/2018 13:52;17.9;0
893999;1497826097;28/09/2018 13:52;17.9;0
894999;1497826098;28/09/2018 13:52;17.9;0
895998;1497826099;28/09/2018 13:52;17.9;0
897000;1497826100;28/09/2018 13:52;17.9;0
897999;1497826101;28/09/2018 13:53;17.9;0
899000;1497826102;28/09/2018 13:53;17.9;0
899999;1497826103;28/09/2018 13:53;17.9;0
900999;1497826104;28/09/2018 13:53;17.9;0
901999;1497826105;28/09/2018 13:53;17.8;0
902999;1497826106;28/09/2018 13:53;17.8;0
904000;1497826107;28/09/2018 13:53;17.8;0
904999;1497826108;28/09/2018 13:53;17.8;0
905999;1497826109;28/09/2018 13:53;17.8;0
906999;1497826110;28/09/2018 13:53;17.8;0
907999;1497826111;28/09/2018 13:53;17.8;0
908999;1497826112;28/09/2018 13:53;17.8;0
910000;1497826113;28/09/2018 13:53;17.8;0
910998;1497826114;28/09/2018 13:53;17.8;0
912000;1497826115;28/09/2018 13:53;17.8;0
912999;1497826116;28/09/2018 13:53;17.8;0
913999;1497826117;28/09/2018 13:53;17.8;0
914999;1497826118;28/09/2018 13:53;17.8;0
915999;1497826119;28/09/2018 13:53;17.8;0
916999;1497826120;28/09/2018 13:53;17.8;0
917998;1497826121;28/09/2018 13:53;17.8;0
919000;1497826122;28/09/2018 13:53;17.8;0
919999;1497826123;28/09/2018 13:53;17.8;0
920998;1497826124;28/09/2018 13:53;17.8;0
922000;1497826125;28/09/2018 13:53;17.8;0
922998;1497826126;28/09/2018 13:53;17.8;0
923999;1497826127;28/09/2018 13:53;17.8;0
924998;1497826128;28/09/2018 13:53;17.8;0
926000;1497826129;28/09/2018 13:53;17.8;0
926999;1497826130;28/09/2018 13:53;17.8;0
927998;1497826131;28/09/2018 13:54;17.8;0
929000;1497826132;28/09/2018 13:54;17.8;0
929999;1497826133;28/09/2018 13:54;17.8;0
930998;1497826134;28/09/2018 13:54;17.8;0
931999;1497826135;28/09/2018 13:54;17.8;0
932999;1497826136;28/09/2018 13:54;17.8;0
933999;1497826137;28/09/2018 13:54;17.8;0
935000;1497826138;28/09/2018 13:54;17.8;0
935999;1497826139;28/09/2018 13:54;17.8;0
936998;1497826140;28/09/2018 13:54;17.8;0
937999;1497826141;28/09/2018 13:54;17.8;0
938999;1497826142;28/09/2018 13:54;17.8;0
